category_name,subCategory_name,item_type
Kitchen,Channel,Push to Open
Kitchen,Channel,Heavy Weight
Kitchen,Channel,Special
Kitchen,Handle,Extrusion Profile
Kitchen,Handle,Knobs
Kitchen,Handle,Regular 
Kitchen,Flooring,Ceramic Tile
Kitchen,Flooring,Vitrified Tile
Kitchen,Flooring,Glazed Tile
Kitchen,Flooring,Full Body Tile
Kitchen,Flooring,Indian Marble
Kitchen,Flooring,Indian Granite
Kitchen,Flooring,Imported Marble
Kitchen,Flooring,Imported Granite
Kitchen,Flooring,Kota Stone Flooring
Kitchen,Flooring,Travertine Floor
Kitchen,Flooring,Terrazo Floor
Kitchen,Flooring,Mosaic Floor
Kitchen,Flooring,Ipc/ Indian Patent Stone
Kitchen,Flooring,Exposed Concrete Floor
Kitchen,Flooring,Engineered Stone
Kitchen,Flooring,"Inlay Profile/ T Profile, L Profile, U Profile"
Kitchen,Wall Finish,Interior Paint
Kitchen,Wall Finish,Interior Texture
Kitchen,Wall Finish,Ceramic Tile
Kitchen,Wall Finish,Tinted Glass
Kitchen,Wall Finish,Vitrified Tile 
Kitchen,Wall Finish,Glazed Tile
Kitchen,Wall Finish,Stone Cladding
Kitchen,Wall Finish,Solid Surface
Kitchen,Wall Finish,SS Cladding
Kitchen,Wall Finish,Spacer
Kitchen,Wall Finish,Aluminium Profile
Kitchen,Wall Finish,Stainless Steel Profile
Kitchen,Wall Finish,Clamps
Kitchen,Lighting,Under Cabinet Lighting
Kitchen,Lighting,LED Strip Light
Kitchen,Lighting,Puck Light
Kitchen,Lighting,Panel & Downlight
Kitchen,Lighting,Spot Light
Kitchen,Fixing Accessories,OPC 43 Cement
Kitchen,Fixing Accessories,OPC53 Cement
Kitchen,Fixing Accessories,Sand
Kitchen,Fixing Accessories,Dust
Kitchen,Fixing Accessories,Epoxy Adhesive
Kitchen,Fixing Accessories,Tile Grout
Kitchen,Fixing Accessories,Stone Adhesive 
Kitchen,Fixing Accessories,Fevicol SH
Kitchen,Fixing Accessories,Fevicol PVC
Kitchen,Fixing Accessories,Screw
Kitchen,Fixing Accessories,Anchor
Kitchen,Fixing Accessories,Nail
Kitchen,Fixing Accessories,Bolt
Kitchen,Fixing Accessories,Nut
Kitchen,Fixing Accessories,Rope & Chain
Kitchen,Fixing Accessories,SS Fastener
Kitchen,Fixing Accessories,Magnet
Hardware,Cabinet,Pull Handle
Hardware,Cabinet,Knob
Hardware,Cabinet,Hinge
Hardware,Cabinet,Backplate
Hardware,Cabinet,Latch
Hardware,Cabinet,Handle
Hardware,Door,Electric Door Lock
Hardware,Door,Smart Door Lock
Hardware,Door,Door Deadbolt
Hardware,Door,Handle Set
Hardware,Door,Keyed Knob
Hardware,Door,Door Hinge
Hardware,Door,Door Bottom
Hardware,Door,Door Seal
Hardware,Door,Floor Spring
Hardware,Door,Door Stop & Buffer
Hardware,Door,Door Closer
Hardware,Door,Pivot System
Hardware,Door,Tower Bolt
Hardware,Door,Peephole
Hardware,Door,Door Stopper
Hardware,Door,Panic Bar
Hardware,Window,Handle
Hardware,Window,Lock & Latch
Hardware,Window,Security Bar
Hardware,Window,Screen
Hardware,Window,Spring
Hardware,Window,Hinge
Hardware,Fastener,Screw
Hardware,Fastener,Anchor
Hardware,Fastener,Nail
Hardware,Fastener,Bolt
Hardware,Fastener,Nut
Hardware,Fastener,Rope & Chain
Hardware,Fastener,Washer
Hardware,Fastener,Hook
Hardware,Fastener,SS Fastener
Hardware,Fastener,Magnet
Hardware,Fastener,Tie Down Strap
Hardware,Fastener,Clamp
Hardware,Fastener,Wall Plug
Hardware,Lock,Safe
Hardware,Lock,Padlock
Hardware,Lock,Lock Box
Hardware,Lock,Drawer Lock
Hardware,Tape,Foam Tape
Hardware,Tape,Double Sided Tape
Hardware,Tool,Drilling
Hardware,Tool,Fastening
Hardware,Tool,Grinding
Hardware,Tool,Spanner
Hardware,Tool,Chisel
Hardware,Tool,Cutting
Hardware,Tool,Screw Driver
Hardware,Tool,Hammer
Hardware,Tool,Metal Working
Hardware,Tool,Wood Working
Hardware,Tool,Wrench
Hardware,Tool,Concrete Drill
Hardware,Tool,Plier
Hardware,Tool,Set
Hardware,Tool,Measuring Tape
Hardware,Tool,Saw
Hardware,Tool,Blade
Hardware,Tool,File
Hardware,Tool,Scissor
Hardware,Furniture & Wardrobe,Handle & Knob
Hardware,Furniture & Wardrobe,Drawer Runner System
Hardware,Furniture & Wardrobe,Hinge
Hardware,Furniture & Wardrobe,Lock & Bolt
Hardware,Furniture & Wardrobe,Bed Lift Up
Hardware,Furniture & Wardrobe,Drawer Lock
Hardware,Basket,
Hardware,Hinge,Butt Hinge
Hardware,Hinge,Concealed Hinge
Hardware,Hinge,Piano Hinge
Hardware,Channel,
Hardware,Handle,
Hardware,Glass,Bracket
Hardware,Glass,Floor Spring
Hardware,Glass,Bolt
Hardware,Glass,Bracket
Hardware,Glass,Connector
Hardware,Glass,Glass Door Handle
Hardware,Glass,Glass Door Hinge
Hardware,Glass,Glass Door Lock
Hardware,Glass,Glass Door Rail
Hardware,Glass,Glass Door Roller
Hardware,Glass,Glass Door Seal
Hardware,Glass,Glass Sliding Fitting
Hardware,Glass,Glass Sliding System
Hardware,Glass,Glass Spider Fitting
Hardware,Glass,Glass Standoff
Hardware,Glass,Patch Fitting
Hardware,Glass,Shower Cubicle Fitting
Hardware,Glass,Shower Cubicle Handle
Hardware,Glass,Shower Hinge
Hardware,uPVC,Espag
Hardware,uPVC,Friction Stay
Hardware,uPVC,uPVC Door Handle
Hardware,uPVC,uPVC Door Hinge
Hardware,uPVC,uPVC Roller
Hardware,uPVC,uPVC Window Handle
Appliance & Equipment,Air Conditioner/ AC,VRV/ VRF
Appliance & Equipment,Air Conditioner/ AC,Split
Appliance & Equipment,Air Conditioner/ AC,Multi Split
Appliance & Equipment,Air Conditioner/ AC,Window
Appliance & Equipment,Air Conditioner/ AC,Portable
Appliance & Equipment,Air Conditioner/ AC,Ductless
Appliance & Equipment,Air Conditioner/ AC,Central
Appliance & Equipment,Air Conditioner/ AC,Cassette
Appliance & Equipment,Air Conditioner/ AC,Floor Mounted
Appliance & Equipment,Refrigerator,French Door
Appliance & Equipment,Refrigerator,Side by Side
Appliance & Equipment,Refrigerator,Top Freezer
Appliance & Equipment,Refrigerator,Mini
Appliance & Equipment,Refrigerator,Freezer
Appliance & Equipment,Refrigerator,Double Door
Appliance & Equipment,Refrigerator,Triple Door
Appliance & Equipment,Cleaning,Vaccum Cleaner
Appliance & Equipment,Cleaning,Carpet Cleaner
Appliance & Equipment,Cleaning,Hard Surface Cleaner
Appliance & Equipment,Cleaning,Robot Cleaner
Appliance & Equipment,Cleaning,Front Control Dishwasher
Appliance & Equipment,Cleaning,Top Control Dishwasher
Appliance & Equipment,Kitchen,Coffee Machine
Appliance & Equipment,Kitchen,Juicer
Appliance & Equipment,Kitchen,Toaster
Appliance & Equipment,Kitchen,Oven
Appliance & Equipment,Kitchen,Microwave
Appliance & Equipment,Kitchen,Mixer
Appliance & Equipment,Kitchen,Deep Fryer
Appliance & Equipment,Kitchen,Air Fryer
Appliance & Equipment,Kitchen,Food Processor
Appliance & Equipment,Kitchen,Cooktop/ Hobs
Appliance & Equipment,Kitchen,Electric Cooktop
Appliance & Equipment,Kitchen,Chimney
Appliance & Equipment,Kitchen,Water Purifier/ RO
Appliance & Equipment,Heating,Oil Filled Radiater/ OFR
Appliance & Equipment,Heating,Fan Heater
Appliance & Equipment,Heating,Halogen Heater
Appliance & Equipment,Heating,Heat Convector
Appliance & Equipment,Washer & Dryer,Top Load
Appliance & Equipment,Washer & Dryer,Front Load
Appliance & Equipment,Washer & Dryer,Semi Automatic
Appliance & Equipment,Washer & Dryer,Fully Automatic
Appliance & Equipment,Washer & Dryer,Dryer
Appliance & Equipment,Other,Television/ TV
Appliance & Equipment,Other,Cooler
Appliance & Equipment,Other,Fan
Appliance & Equipment,Other,Exhaust
Appliance & Equipment,Other,Air Purifier
Appliance & Equipment,Other,Dehumidifiers
Appliance & Equipment,Other,Humidifiers
Appliance & Equipment,Other,Geyser/ Water Heater
"Wire, Cable & Accessory",Wire/ Cable,Building Wire
"Wire, Cable & Accessory",Wire/ Cable,Submersible Cable
"Wire, Cable & Accessory",Wire/ Cable,LT Power Cable
"Wire, Cable & Accessory",Wire/ Cable,HT XLPE Cable
"Wire, Cable & Accessory",Wire/ Cable,HDMI Cable
"Wire, Cable & Accessory",Wire/ Cable,Solar DC Cable
"Wire, Cable & Accessory",Wire/ Cable,Welding Cable
